unit,deaths,b_mean,b_sd,b_lo95,b_hi95,classified_95
Centre-West,8902,-0.022565644257306307,0.01290996664111039,-0.048469773328863916,0.0026296296215635936,False
North,17106,-0.021979107339816135,0.012695120388110579,-0.047750601772805226,0.0038654595796821733,False
Northeast,39418,-0.023116586396807682,0.01265675326735572,-0.04894415924936338,0.0016003523136358402,False
South,10848,-0.02300764525727287,0.012452497122861743,-0.04830812180346717,0.0008077095758623422,False
Southeast,41304,-0.019038520168100342,0.01283866048372098,-0.04296261435289448,0.008605187708590681,False
