unit,deaths,b_mean,b_sd,b_lo95,b_hi95,classified_95
110001,12,-0.025905478817924404,0.027790544332990955,-0.08162724841375488,0.027494310039192463,False
110002,87,-0.013721347891949497,0.023370800065681645,-0.05967475766077292,0.031325122222568905,False
110003,4,-0.02402354788055688,0.028487125033921333,-0.07883887890070063,0.0311498820418456,False
110004,53,-0.014924639685616335,0.024441287746333897,-0.06277855288829912,0.03466654727825557,False
110005,11,-0.02916599123415899,0.0274966457229162,-0.08160033785461862,0.024960704877843118,False
110006,11,-0.010903228810427105,0.02823227256248343,-0.06692048947882058,0.045240991940427716,False
110007,6,-0.024147441474449485,0.028416401375383916,-0.08029567880437426,0.031634038290142545,False
110008,16,-0.019608725019282087,0.027259152880316675,-0.07413109428657155,0.033031443191973466,False
110009,26,-0.025331692113527315,0.027031779867011507,-0.07715485471369472,0.027419837538052456,False
110010,58,-0.030754423940919817,0.024804920682582676,-0.07949939468851461,0.018174629203741723,False
110011,34,-0.026719893454491793,0.026191386825380452,-0.07968807448279487,0.023956075238811898,False
110012,84,-0.05168709176186968,0.023911234116359623,-0.09937002251116617,-0.005285852211301197,True
110013,35,-0.015949431969713147,0.026328824484649387,-0.06877463875560064,0.03490555576480866,False
110014,7,-0.013173595474200737,0.028331604145297742,-0.06846301775151509,0.04295209714660171,False
110015,17,-0.02115738041545675,0.027455639739121657,-0.0753289334634584,0.032880491142615945,False
110018,40,-0.018114341772754426,0.0259784744832267,-0.06869154330456852,0.03244991689252571,False
110020,317,-0.0976103020144619,0.01951182934837772,-0.13669456093421917,-0.06041802778541454,True
110025,16,-0.02634293829364635,0.027245302641137364,-0.07857206717998806,0.027741430704888558,False
110026,1,-0.02109153968467038,0.028787456295211046,-0.07731642580759449,0.03394351527837159,False
110028,39,-0.012895449064331255,0.02531286762430123,-0.06276980210276416,0.03683274849728702,False
110029,2,-0.023638176500208725,0.02900460618280503,-0.08146237203636937,0.03299627781381741,False
110030,64,-0.004540260009535688,0.023977962471964806,-0.05117946534716112,0.04115482804888878,False
110032,20,-0.028623822371586637,0.02716014728000607,-0.08263702568491416,0.024445358030519195,False
110033,21,-0.02396084997316901,0.02622212588425716,-0.07608956852198943,0.028012291894805894,False
110034,6,-0.02002532058669262,0.028629111352568338,-0.07619954372562043,0.03550543022365224,False
110037,1,-0.018052331533657765,0.02911745341120579,-0.07431514837972901,0.040007620737302976,False
110040,16,-0.03033207114892336,0.028246719484203025,-0.08522108308241302,0.025274602857943793,False
110045,29,-0.01828256922435286,0.0258658888407503,-0.0676650121633118,0.032171729916415544,False
