unit,deaths,b_mean,b_sd,b_lo95,b_hi95,classified_95
110001.0,417,-0.0770530966316883,0.015616473208701624,-0.10828982419521486,-0.04746552603034407,True
110002.0,161,-0.018510297242326577,0.01668083635776984,-0.05108701455539457,0.014061014740258948,False
110003.0,87,-0.019129016700653114,0.018141594543188977,-0.054656605460856704,0.01687084053289449,False
110004.0,209,-0.042460919113284756,0.016162815448348036,-0.07462896234357048,-0.011067340471447314,True
110005.0,191,-0.013373943829601236,0.016367765952985034,-0.045526606512596275,0.018530831213759563,False
110006.0,108,-0.015032208077467519,0.017597292880479454,-0.04995166456306302,0.020029041478546356,False
120001.0,405,-0.015962542752998344,0.014770419513723517,-0.0448249250909099,0.012981562970476463,False
120002.0,67,-0.02855878995678931,0.01918660252805394,-0.06628999907728088,0.00880121608585488,False
120003.0,82,-0.015439143005138614,0.01811508194958188,-0.05122742490412653,0.02015621891244927,False
120004.0,153,-0.013785707214251493,0.017058496698650442,-0.04666038106643386,0.019417226801797232,False
120005.0,140,-0.02405064381442033,0.01678547362532605,-0.05752751479189645,0.009277365449842995,False
130001.0,1946,-0.03657851514636991,0.01203578968166284,-0.06033708143695349,-0.013294257999595072,True
130002.0,183,-0.01957264747213345,0.016459578649731382,-0.05138347040154847,0.012624675184009377,False
130003.0,153,-0.01304641567291921,0.017117592009664607,-0.046565716611539125,0.020220528954968023,False
130004.0,129,-0.03118433430110065,0.01731398273038792,-0.0665149967059262,0.002239630826281334,False
130005.0,361,-0.02612454550143936,0.014770426754391407,-0.05504672083032408,0.0029766207201024197,False
130006.0,359,-0.025075365896682578,0.014815460253808347,-0.05363951598392915,0.003802587978640827,False
130007.0,183,-0.015753049799409155,0.01652856837391639,-0.048235455803797844,0.016865867161727974,False
130008.0,158,-0.029832255933420516,0.01726047405327457,-0.06370276024465381,0.003913060070316432,False
130009.0,137,-0.011006645970973476,0.01732437936982111,-0.044029318447238085,0.02307631961751418,False
130010.0,378,-0.021528404740322433,0.015076578685197274,-0.05160531932127237,0.008463068209456701,False
130011.0,185,-0.016218128839807916,0.016471234554724958,-0.04854286322835059,0.016556410847864397,False
140001.0,533,-0.006193959395367473,0.013927743587622535,-0.03294575403378639,0.020975099109541977,False
140002.0,135,0.004822862646506667,0.017596440351801256,-0.02920992905267982,0.040050163568580155,False
140003.0,56,-0.026970081594214976,0.019319648452986803,-0.06517668517856501,0.010407112238710537,False
140004.0,33,-0.029515654752070613,0.02032268512411697,-0.06903578730100342,0.009627785309411323,False
150001.0,2052,-0.024772705435256347,0.011810347452022335,-0.04810432572848839,-0.0015805528889344174,True
150002.0,326,-0.03519004219470572,0.015290747206017644,-0.06539294475242641,-0.005363861600996495,True
150003.0,405,-0.0056761928373775415,0.014793261322558905,-0.03427232195410365,0.023417251426528177,False
150004.0,480,-0.019578440819552942,0.013940995490532081,-0.0471970006556771,0.007279850240324913,False
150005.0,345,-0.024599305635971527,0.01496621723064729,-0.05417785234933642,0.004881978265415815,False
150006.0,159,-0.032044666162224934,0.017151684525804223,-0.06652666312061148,0.0007447516419193653,False
150007.0,243,-0.03552355473050946,0.01571475342215491,-0.06665364721235058,-0.005141514279512711,True
150008.0,109,-0.011909560303136679,0.018004311651558046,-0.046939119524309805,0.02392891266290884,False
150009.0,479,-0.036191791494897436,0.014456644803884897,-0.06480736188451958,-0.008004439724510943,True
150010.0,412,-0.0306606584246132,0.014421443822448745,-0.059504823046895944,-0.0026290097599230527,True
150011.0,286,-0.021800289478522705,0.016004774454010814,-0.05330888054637809,0.009274129630960897,False
150012.0,258,-0.013667943474813912,0.015332099141841837,-0.0439611503920101,0.016502469111056857,False
150013.0,163,-0.02283635487159443,0.01674720397010168,-0.05511894672451749,0.010227597156052046,False
150014.0,91,-0.013730855904923156,0.018522096695557554,-0.05018101013003147,0.022124189855158183,False
150015.0,828,-0.00762568323574703,0.013244886399361862,-0.03294011781012433,0.01803875071151218,False
150016.0,406,0.015018376527309156,0.015063275936179376,-0.014346018701807075,0.04658159394956771,False
150017.0,346,-0.029873093979152027,0.014995472436026669,-0.05945428369102488,-0.00030176904481472053,True
150018.0,276,-0.03009423835649002,0.015261608668761414,-0.05960991460146927,-0.0006481612802424914,True
150019.0,106,-0.011741740158092838,0.01802453369924911,-0.045935843674099745,0.023394861128279994,False
150020.0,595,-0.013721902037155407,0.01363739838205867,-0.040523994766974714,0.013056996537567983,False
150021.0,137,-0.03485636079601011,0.017896854419084948,-0.07043025339906096,0.00011561220901569358,False
160001.0,623,-0.04766209463486795,0.014235724344444027,-0.0756306514400706,-0.020171363663013277,True
160002.0,80,-0.030800797028060455,0.018816487987478817,-0.06712468839991402,0.00645989270145064,False
160003.0,87,-0.002544836698684228,0.018951310766534606,-0.03910078290976133,0.03459940944345853,False
160004.0,48,-0.017540336601275682,0.019630172927781703,-0.05580464932133125,0.02156701681389403,False
170001.0,97,-0.028457895520583577,0.01756301358278766,-0.06376721433925403,0.006221153093061743,False
170002.0,61,-0.01841902431876599,0.018986172328445825,-0.055122579098452106,0.01935649138966531,False
170003.0,64,-0.016747810798355193,0.018696045502466976,-0.05356030997203314,0.019387710184354316,False
170004.0,43,-0.020621924314469523,0.01974156624058363,-0.059344209868562696,0.017856868530455924,False
170005.0,221,-0.009676602155117656,0.01600485377020048,-0.04133636304496362,0.022070627964652065,False
170006.0,48,-0.0036799587797675115,0.019431151675467984,-0.04181622032594516,0.03443184540490671,False
170007.0,53,-0.0009310788372208106,0.019286466644195362,-0.03773653802590598,0.03824050573776265,False
170008.0,28,-0.014133361331331171,0.01991706195313609,-0.05223473628468737,0.02524587435693721,False
170009.0,75,-0.01485132613037416,0.0183992910513898,-0.05117963596900856,0.020875031088099058,False
170010.0,82,-0.005106138484388141,0.01803560442182877,-0.03983770527929486,0.030420523771891826,False
170011.0,45,-0.012003552695374618,0.019101663465966548,-0.050005732764714414,0.025798853888436956,False
210001.0,1068,-0.028687403705272847,0.012601363719197694,-0.053439066782403864,-0.004377939530337195,True
210002.0,322,-0.02144763783836648,0.015237803077287686,-0.05109286987096308,0.008223740339395894,False
210003.0,263,-0.03353549561228568,0.015625921137284393,-0.06391911118717666,-0.0030354315686242747,True
210004.0,203,-0.04251561173432054,0.016502958646164502,-0.07579971092816198,-0.01109567064649391,True
210005.0,272,-0.035981398487639454,0.015749569808507016,-0.06705295030989451,-0.00537876323356133,True
210006.0,119,-0.014614256895294697,0.018058080867355077,-0.049266992145705825,0.021159847765468674,False
210007.0,124,-0.017825621874495715,0.01736856009862536,-0.052161203029463955,0.015787543323342278,False
210008.0,132,-0.03465387089443695,0.01755452753016948,-0.06987456870024097,-0.0011941458895164128,True
210009.0,410,-0.0237577785264206,0.014784515396605665,-0.052705444558904836,0.005303877181289431,False
210010.0,367,-0.04038910212346893,0.015043330630557737,-0.06983430728360554,-0.010783862378898933,True
210011.0,187,-0.020478966746480514,0.017102897052809932,-0.05367335839007843,0.013664877091559363,False
210012.0,150,-0.010754383866496516,0.016904591951974475,-0.043616718666551334,0.022767054173128402,False
210013.0,258,-0.03515922630783062,0.01574700792178633,-0.06622741535512829,-0.004760340488594993,True
210014.0,181,-0.03829291934108209,0.01667445905361799,-0.07135124512617416,-0.006414522368006723,True
210015.0,229,-0.02458482264471322,0.016378091653324413,-0.05636302432163783,0.007318747123165424,False
210016.0,195,-0.011291363188200128,0.016140437532277254,-0.042668875614101875,0.021204087309925183,False
210017.0,121,-0.002313045649020281,0.0172658391694425,-0.035784799504042814,0.03165049400905264,False
210018.0,90,-0.008786239530853059,0.01835333588026353,-0.04439589582074071,0.02726490899991509,False
210019.0,527,-0.025771621326536806,0.013840655178741116,-0.05317270957326373,0.0011796946676679528,False
210020.0,358,-0.029104895249788675,0.015180799438863832,-0.05905999684235778,0.0003579319209400248,False
210021.0,271,-0.04290607368804081,0.01570742519047241,-0.07425290506856867,-0.012669711999477775,True
210022.0,290,-0.03866685662002723,0.015529071180550365,-0.06941325180984685,-0.008575557841007277,True
220001.0,463,-0.05258299154206417,0.014487566392546822,-0.08156430037550762,-0.024391021534551062,True
220002.0,86,-0.014870061311455518,0.018709568249836845,-0.05126621852236879,0.021093070450366055,False
220003.0,57,-0.017627264372554716,0.018869782632455503,-0.05515136146098602,0.01938907576401502,False
220004.0,44,-0.016920034243021315,0.019552500320304263,-0.05506762210001717,0.022010805444955817,False
220005.0,68,-0.03616907677387785,0.01888992053734638,-0.07405339962092874,0.0010221261878410293,False
220006.0,235,-0.02709107014190559,0.015854882223425158,-0.05845323939941294,0.0038705991941140605,False
220007.0,93,-0.020533100786682523,0.017634913644729966,-0.05505607012145992,0.013874023087442297,False
220008.0,99,-0.02378581782288803,0.017639739835006055,-0.058170894765589766,0.010680556939325936,False
220009.0,194,-0.03689548080250723,0.016567731059285655,-0.06929304631566564,-0.004682535296722018,True
220010.0,77,-0.02387610459232065,0.01850793323929475,-0.05968023893975285,0.013253181615018456,False
220011.0,30,-0.02722571070470162,0.020123655971745532,-0.06659106113793521,0.011325509016230553,False
220012.0,27,-0.026448438543546005,0.01972628958312764,-0.06614492333410812,0.011094409063456094,False
220013.0,89,-0.027125856401241502,0.01887719795470531,-0.06419465148982574,0.010001422849308182,False
220014.0,40,-0.011773411435982477,0.019780075085073345,-0.04991829070447583,0.028263089375916796,False
220015.0,93,-0.020890709679897722,0.017921737415358623,-0.055750459765396734,0.014284677412063913,False
220016.0,55,-0.026729253786430044,0.019454048400325726,-0.0651912170061997,0.011804724016307151,False
220017.0,97,-0.016428805345237937,0.018310606895935378,-0.05242475154722739,0.019323562317731104,False
220018.0,58,-0.032834179215945405,0.0187347056853001,-0.07005351914985307,0.0037691906799285943,False
220019.0,32,-0.031177719441228297,0.0201878622672821,-0.07131094568423842,0.008741968814919185,False
230001.0,2202,-0.02372742295519193,0.01198685666202066,-0.04745129622445825,-0.00012368902508239454,True
230002.0,246,-0.023751862984075566,0.016019225778989322,-0.05458847190215434,0.007659570041180223,False
230003.0,128,-0.016271982443626647,0.016816442958685854,-0.04917727324786807,0.016777652675759282,False
230004.0,102,-0.03455292022693876,0.017878650966665945,-0.07078597321528321,0.00016324111036003703,False
230005.0,100,-0.034187761978661094,0.018419576868950856,-0.07051180223116751,0.0017353869858443632,False
230006.0,287,-0.031269852775563,0.015968641786089213,-0.06298329340115405,-7.06233473423369e-05,True
230007.0,208,-0.0165494706291566,0.016499796953564537,-0.048686088095290396,0.01544432640566734,False
230008.0,65,-0.01738903694944501,0.018527656953739695,-0.05322639633452749,0.018570381039367746,False
230009.0,210,-0.014423856275859853,0.015673796193495848,-0.04510947469735269,0.015604189237394622,False
230010.0,64,-0.03212306669362052,0.019016570294242325,-0.06906187955123515,0.005497410114992345,False
230011.0,680,-0.04860268791112489,0.01380997618888269,-0.07559680559979937,-0.02167066340307917,True
230012.0,164,-0.04734754762956131,0.01705642387426365,-0.08037831744856452,-0.01426398624820079,True
230013.0,242,-0.04258796557768006,0.016071306788077788,-0.07501034240437973,-0.011008352815345542,True
230014.0,55,-0.021781292827955025,0.01942715096800351,-0.060235200740728086,0.016283815020795726,False
230015.0,356,-0.0442391456165505,0.015145505463469537,-0.0745198874640308,-0.01512211437302549,True
230016.0,269,-0.040499027738955,0.015293206986755454,-0.07095251347728125,-0.010832520980320932,True
230017.0,168,-0.02725993368727827,0.01670251707519673,-0.06024741374777194,0.005698259743012353,False
230018.0,112,-0.029147515181769734,0.017846475017041022,-0.06443450991854713,0.005580308507987634,False
240001.0,781,-0.05515367124861266,0.013825800333736909,-0.08236050694246765,-0.02883635905894827,True
240002.0,79,-0.024488530865791905,0.018199262968559875,-0.060081611769303725,0.012051177982956874,False
240003.0,83,-0.01457407696601921,0.018177931145523123,-0.04950580913235992,0.021585723487429778,False
240004.0,52,-0.03197507780959454,0.01885645165223209,-0.06860275723362651,0.004458676691032988,False
240005.0,47,-0.014767869491680144,0.019596692089734195,-0.0529078729370428,0.024321933327426846,False
240006.0,33,-0.027441212689691293,0.019328501060395756,-0.06593314926350657,0.01012993511520014,False
240007.0,80,-0.026017970805129458,0.018570586223236058,-0.06248076734036201,0.010541014567363862,False
240008.0,69,-0.012100146236514793,0.018784533619835758,-0.04895839534355098,0.025113894847095638,False
240009.0,278,-0.01334376762178007,0.01571336535912448,-0.044776588600637476,0.01750545063177283,False
240010.0,159,-0.008347340919512425,0.016715022632330562,-0.041188762418805334,0.024210437932054404,False
240011.0,138,-0.0031076308194196577,0.017178193260054757,-0.036788786807748663,0.031209940791517503,False
250001.0,944,-0.016883928105414003,0.012942384185926801,-0.042110418771605804,0.008409086789041542,False
250002.0,205,-0.018651369030199264,0.016311317539181077,-0.050877884846327236,0.013117668837616472,False
250003.0,98,-0.013186482632964385,0.01809919976272612,-0.04873943113323254,0.022075790671412094,False
250004.0,39,-0.013279607736681385,0.01965966722874784,-0.05222335384960517,0.024959588627828058,False
250005.0,746,-0.028895963508271994,0.01337462425337921,-0.05532469556973109,-0.0018492519475156572,True
250006.0,69,-0.016337258542748954,0.018543289899136298,-0.05218198763373069,0.020307656264685593,False
250007.0,47,-0.037063151964629684,0.019776380629194342,-0.07589771151818152,0.002268755493476375,False
250008.0,48,-0.03586247667354371,0.01965569622370173,-0.07483990454708236,0.0017633311796486403,False
250009.0,199,-0.023436320471860693,0.016614087633062286,-0.056032046170816405,0.009292221649120753,False
250010.0,94,-0.016541143509387814,0.018302193977475175,-0.05327376086272374,0.019337506158154417,False
250011.0,77,-0.017350025210367454,0.01861842906027899,-0.05394123515165632,0.018822292835048205,False
250012.0,28,-0.00744455178279916,0.019802781459708794,-0.04581691839115241,0.032630555370411894,False
250013.0,37,-0.022058170672566053,0.019849317111214928,-0.060582753412843166,0.016307022351931655,False
250014.0,115,-0.025100072106405913,0.0172909952836481,-0.05885750590951467,0.00893634477586873,False
250015.0,128,-0.0010538870173137883,0.01768231280810371,-0.035827651733278114,0.034115999266583805,False
260001.0,1209,-0.016316048665502413,0.012644510359836892,-0.040589925063948686,0.008723874825887563,False
260002.0,142,-0.016418921950591255,0.017038474244851505,-0.04948835701306553,0.016612916389082643,False
260003.0,115,-0.019932316358120986,0.017368880304390984,-0.05380806187501066,0.013614204388369477,False
260004.0,91,-0.00839154397587187,0.018107229677893976,-0.04333777802933585,0.02800797841905648,False
260005.0,59,-0.02873449969438634,0.019120388675221065,-0.06682626931474961,0.0082761444737396,False
260006.0,82,-0.029670514450389648,0.018594909938482913,-0.06642578591965011,0.006916775429914064,False
260007.0,84,-0.023576383365719968,0.017732719175208002,-0.05857954819996267,0.010887854395803141,False
260008.0,61,-0.0130082779284163,0.018765813153097662,-0.04933950599605565,0.02408639548335974,False
260009.0,550,-0.02196034602300093,0.013621813619796702,-0.04871311825432447,0.00492684349134023,False
260010.0,353,-0.019291428660421533,0.01468758924730399,-0.04836177801501202,0.009499709998945451,False
260011.0,290,-0.02889900210168571,0.015606117397392977,-0.05955586965647062,0.00148027902196502,False
260012.0,162,-0.017107866570899237,0.01619620865731862,-0.04911868299192987,0.015366850102002444,False
260013.0,240,-0.010934801443017141,0.01591121177025035,-0.04117923347500247,0.02099381819029487,False
260014.0,100,-0.005697444208915563,0.018149707601955604,-0.040493151585746026,0.030112226994018325,False
260015.0,387,-0.05379072182877419,0.015112486265810153,-0.0844595338153464,-0.024584415184137377,True
260016.0,400,-0.028713424373612184,0.014834858088097397,-0.05805319260398841,0.0002909290417884344,False
260017.0,196,-0.03557351818312551,0.016170193910225276,-0.06739038946456621,-0.003971672731347796,True
260018.0,69,-0.02781782530495976,0.01878347477574515,-0.0643438809789002,0.009235250665819896,False
