rgi_id,rate_mean,rate_sd,lo95,hi95,classified_95
110001,-0.07641418186811168,0.015477031911636721,-0.10711458920911048,-0.04643722904906531,True
110002,-0.02178129796834283,0.01693073886471485,-0.0543616443988495,0.011943509104620293,False
110003,-0.02282914871041205,0.018573526782203104,-0.05913219842898584,0.013174720405617719,False
110004,-0.044182442065498144,0.016511404667104736,-0.07618185716530042,-0.011386299539008885,True
110005,-0.016395507528096792,0.016654110673595148,-0.04922582551893096,0.016972938649684004,False
110006,-0.018565343047110747,0.018505740379210975,-0.0544687714289532,0.018229416150809852,False
120001,-0.014881438022330462,0.0141972341034021,-0.04241291505427753,0.013128401873476879,False
120002,-0.02560757755174785,0.018971319469417464,-0.06290574922936107,0.011876252365391419,False
120003,-0.013675086969195116,0.01843757813517682,-0.04968125300833777,0.02236826060465874,False
120004,-0.012439657165742862,0.01696444144306223,-0.04528446715225045,0.020436490632866382,False
120005,-0.021979503708174412,0.01749006388118914,-0.05601966933557509,0.012953604583378707,False
130001,-0.035792654732989156,0.012071399982896793,-0.05931814830787399,-0.012361797947649265,True
130002,-0.019045754023102133,0.01668072905478226,-0.05115546495223737,0.013296657062206722,False
130003,-0.012358860287547489,0.01681423273522775,-0.04546903379840579,0.020843636964629746,False
130004,-0.02956840416846946,0.01743365495001602,-0.0636307133145341,0.0038855649571926587,False
130005,-0.025381637312165358,0.014664769760777891,-0.05430063397072825,0.003700747780348093,False
130006,-0.024013427415441168,0.014611175000323964,-0.053300356932627725,0.004036843289520993,False
130007,-0.015214256323333146,0.016509203615034634,-0.0470871691746238,0.01789453909346301,False
130008,-0.028728917972695767,0.01676615121338844,-0.06182289288402827,0.004244861786775014,False
130009,-0.010871003050714648,0.01731399215901286,-0.04465074258088803,0.023290981391940527,False
130010,-0.021063463618938537,0.014739434486882561,-0.05021769751012778,0.007689509529847736,False
130011,-0.015524690468254897,0.016515551871873656,-0.04795506011447021,0.016715153117665728,False
140001,-0.004595463963653318,0.014183258819721963,-0.032210884219861305,0.02335452926938815,False
140002,0.005816460023162458,0.017956674425457446,-0.028291378909813,0.041363064726165355,False
140003,-0.022640345186671355,0.019842923707565106,-0.06128359721437484,0.016223637003915024,False
140004,-0.02484297565815079,0.020136121764870715,-0.06398812962184658,0.013976049202055776,False
150001,-0.023611455784795406,0.011607533424853676,-0.04675678926179138,-0.001373343109198034,True
150002,-0.033319075528608445,0.015010780667995202,-0.06273334288166635,-0.004726777069683733,True
150003,-0.005096778644668128,0.014476151963531896,-0.03353691780979283,0.023300654057475067,False
150004,-0.017959481170053554,0.014115875757322142,-0.045120923539015916,0.009919476379700861,False
150005,-0.02263124283939632,0.014889846714337428,-0.05230780687808239,0.0060047767177357,False
150006,-0.029182441532980965,0.016460483234210902,-0.061819182099558855,0.0027955454242757334,False
150007,-0.03286197609756305,0.015804117656830114,-0.06429781779334884,-0.002103624738168629,True
150008,-0.010195982194292855,0.017193921976913846,-0.043603207237191154,0.023871010593235334,False
150009,-0.03400717464070661,0.014184200077756727,-0.06188113570348397,-0.006208487882460167,True
150010,-0.028796282754859518,0.013881707079468428,-0.0561821487265623,-0.0018319352222848962,True
150011,-0.019943824976486738,0.015168135786068515,-0.049591976870285,0.009942313902110138,False
150012,-0.01248257842354199,0.015269178552806963,-0.04171498666771128,0.01742788872772172,False
150013,-0.020945831186648882,0.01677388065578015,-0.05298119428715585,0.012561160265689139,False
150014,-0.012294669981113598,0.018027917560812085,-0.04791977628263809,0.022718279757615832,False
150015,-0.006781500582039527,0.013316236876638134,-0.03234290829978658,0.01980357476029432,False
