rgi_id,b_mean,b_sd,b_lo95,b_hi95,classified_95,prob_direction,mde,bh_fdr05
110001,-0.0771240254723041,0.0155778374821316,-0.1083902578607486,-0.046623532114691,True,1.0,0.030532561464978,True
110002,-0.0222520827435753,0.0171986192780932,-0.0566555003032275,0.0107895423788815,False,0.902875,0.0337092937850628,False
110003,-0.023064546644652,0.0189001333219378,-0.0597211169986799,0.013886771736326,False,0.88825,0.0370442613109982,False
110004,-0.0445879710873054,0.0165788817186259,-0.0769930646727525,-0.0121583771621786,True,0.996375,0.0324946081685069,False
110005,-0.0169034218911305,0.016994062223782,-0.0496954676683174,0.0171093144408552,False,0.842375,0.0333083619586129,False
110006,-0.0191965248108315,0.0178467045017294,-0.0545400550149801,0.0149990605883128,False,0.85925,0.0349795408233897,False
120001,-0.0151710988865895,0.0150175167846628,-0.0446295888220867,0.0141524945017625,False,0.841875,0.0294343328979392,False
120002,-0.0253585894993034,0.0186961834842565,-0.0625952240946223,0.0114206354212303,False,0.912875,0.0366445196291428,False
120003,-0.0133900332319318,0.0189013555792831,-0.0511205672210235,0.0243283533413769,False,0.766125,0.037046656935395,False
120004,-0.0124228430662359,0.0173197141698991,-0.04660270529069,0.0209992701213065,False,0.762625,0.0339466397730022,False
120005,-0.0219405989120574,0.0173125469440886,-0.0552027572595876,0.011298240242746,False,0.898375,0.0339325920104137,False
130001,-0.0358897100505333,0.0120576126221395,-0.0596342527648995,-0.0126697333693807,True,0.998625,0.0236329207393935,False
130002,-0.0189122194556953,0.0170525963323101,-0.0529182261572491,0.01440817376306,False,0.865125,0.0334230888113278,False
130003,-0.0127814323798906,0.0168528517983854,-0.0448656738783126,0.0200498707788319,False,0.776625,0.0330315895248355,False
130004,-0.029814072188153,0.0173621469469654,-0.064687368747488,0.0042042226031552,False,0.95875,0.0340298080160522,False
130005,-0.0256615072549635,0.0149056363180064,-0.0553616175296806,0.0034903973168396,False,0.9585,0.0292150471832926,False
130006,-0.0241996254150881,0.0150651599200869,-0.0539562091019195,0.005739765996464,False,0.94225,0.0295277134433704,False
130007,-0.0156059025396477,0.0167980710463404,-0.0482592958902497,0.0170825041872129,False,0.82625,0.0329242192508272,False
130008,-0.0290272112281362,0.0168043997240133,-0.0620414695070803,0.0039042662836116,False,0.959375,0.0329366234590662,False
130009,-0.0109422228463891,0.0177284220555635,-0.0458982441781132,0.0239762185712711,False,0.727875,0.0347477072289045,False
130010,-0.0212101247010481,0.0147534126303671,-0.0498106833917943,0.0077579554190134,False,0.924625,0.0289166887555196,False
130011,-0.0159815007175746,0.0167322843601499,-0.0485569530027472,0.0169838643748194,False,0.833,0.0327952773458939,False
140001,-0.0041569851884382,0.0140862904412738,-0.0319033999407462,0.0236918805425948,False,0.619625,0.0276091292648966,False
140002,0.0062220737599867,0.018044584907714,-0.0281061048603087,0.0418085619435609,False,0.631125,0.0353673864191194,False
140003,-0.0228195147904492,0.0199332413443101,-0.0620192805407442,0.0163000122003893,False,0.87725,0.0390691530348478,False
140004,-0.0249285600648462,0.0202804724667483,-0.0639251039406515,0.015208518112832,False,0.891,0.0397497260348266,False
150001,-0.0238054376186663,0.0118935570756553,-0.0475148314679528,-0.0012569903137148,True,0.9805,0.0233113718682844,False
150002,-0.0329896997893434,0.015387821210092,-0.0626411629767408,-0.0026027034439854,True,0.98375,0.0301601295717804,False
150003,-0.0053121873894387,0.0143934688084425,-0.0335792585659444,0.023251881619709,False,0.645,0.0282111988645474,False
150004,-0.0184349791587603,0.0141316777478539,-0.0464373996193788,0.0087222489187315,False,0.90225,0.0276980883857936,False
150005,-0.0227210857572606,0.0146462436000439,-0.0521510867438619,0.0057427640687936,False,0.936625,0.0287066374560861,False
150006,-0.0292102153816374,0.0166918560221087,-0.0616538393900584,0.0037007385284332,False,0.96025,0.032716037803333,False
150007,-0.0328772244233005,0.0156534637888685,-0.0636739733041516,-0.0021508242057795,True,0.9815,0.0306807890261823,False
150008,-0.0103562313627197,0.0176539589183169,-0.0440818809125378,0.0239575831774332,False,0.718375,0.0346017594799012,False
150009,-0.0339820558446542,0.0145767075047564,-0.0625506129766593,-0.0056565709984764,True,0.990125,0.0285703467093225,False
150010,-0.0291072589836848,0.0144180364560711,-0.0574687115189972,-0.0004186948711749,True,0.977375,0.0282593514538995,False
150011,-0.0200513395296517,0.0151914129971268,-0.04941178742512,0.0087027838617363,False,0.90825,0.0297751694743685,False
150012,-0.0123415694633421,0.015676171956304,-0.0426831511886288,0.0185501393490781,False,0.781625,0.0307252970343559,False
150013,-0.0208082454165322,0.0167834254509734,-0.0547518447974733,0.0132799689692424,False,0.89825,0.0328955138839079,False
150014,-0.01178709447479,0.0180647162592846,-0.0467108657017149,0.0239795928816663,False,0.750875,0.0354068438681979,False
150015,-0.0068320037717422,0.0135919244160328,-0.033670811739942,0.0198369834528231,False,0.69025,0.0266401718554244,False
150016,0.0144764504070671,0.0150259003764308,-0.014826847790114,0.0441978250667704,False,0.83175,0.0294507647378044,False
150017,-0.0282273295761764,0.0153081868473623,-0.0579287757089182,0.0012383317092849,False,0.96875,0.0300040462208301,False
150018,-0.0277690275515841,0.0151033140052622,-0.0572458117041606,0.0012029549431828,False,0.968625,0.029602495450314,False
150019,-0.01045225953051,0.0176713109215447,-0.044783998705104,0.0251317470116734,False,0.72475,0.0346357694062277,False
150020,-0.0129492436745973,0.0138436811457892,-0.0400325460609022,0.0146185985145662,False,0.829,0.0271336150457469,False
150021,-0.0315920005503479,0.0169974681272998,-0.0654163487830689,0.0012894723812101,False,0.969125,0.0333150375295077,False
160001,-0.047086524997889,0.0141388922227584,-0.074332025313589,-0.0189836110620801,True,0.9995,0.0277122287566064,True
160002,-0.031070396887348,0.0189735110319706,-0.0681545408998545,0.0057667612732669,False,0.949625,0.0371880816226624,False
160003,-0.0048215152184415,0.0190627494012778,-0.0413513718561064,0.0341262540320709,False,0.6045,0.0373629888265046,False
160004,-0.0184812996816545,0.0195908816529824,-0.0571405796343554,0.0203688912925091,False,0.828375,0.0383981280398455,False
170001,-0.018793255644201,0.0189840007226157,-0.0557363784590786,0.0189062909357155,False,0.838,0.0372086414163267,False
170002,-0.008706146570968,0.0195609085935059,-0.0466518204851959,0.0294952958553069,False,0.670875,0.0383393808432716,False
170003,-0.0076571207042454,0.019576324886157,-0.0455566354070008,0.0305376059668032,False,0.650125,0.0383695967768678,False
170004,-0.0102811021657526,0.0204895655329182,-0.0496468271462907,0.0298122908108372,False,0.693875,0.0401595484445198,False
