rgi_id,b_mean,b_sd,b_lo95,b_hi95,classified_95
110001,-0.07722709684775352,0.015546746104877397,-0.10895013937253417,-0.0474646028119111,True
110002,-0.02182137559090252,0.017208665195785705,-0.05464273909793217,0.012226989435194149,False
110003,-0.0229115383398262,0.019257913322758925,-0.061153047749290645,0.015708943323525834,False
110004,-0.0447492507746479,0.016763157153857764,-0.07768054276969567,-0.01217466706082261,True
110005,-0.016789201798998114,0.016806961452982112,-0.0495792992753524,0.01637510764328851,False
110006,-0.019010241066039674,0.01797017295776206,-0.05436719504307629,0.01619384062602661,False
120001,-0.01483856589826781,0.014643842989907202,-0.043442588590754665,0.013521333052288878,False
120002,-0.025858537405658057,0.0190686958785316,-0.06343562530560055,0.012253160429576141,False
120003,-0.01400399029991972,0.01872720740947639,-0.05017935246784103,0.02287080932892323,False
120004,-0.01233666544403711,0.017180810112850227,-0.045624614815088574,0.02089916938580485,False
120005,-0.022525183234215766,0.01741133711507797,-0.056641580673870956,0.011794500294358986,False
130001,-0.035814123932455234,0.012003223604407816,-0.05968880918724586,-0.012612798607252168,True
130002,-0.0192845852382579,0.017026184698667485,-0.052805453750726636,0.014296657197459406,False
130003,-0.012448271717840876,0.016976706169058425,-0.045640834224500666,0.020906870667254017,False
130004,-0.029823565755137914,0.017642871059115037,-0.0644787418198036,0.0053270208261372515,False
130005,-0.025799828652848418,0.015050961677879133,-0.05541551036174423,0.0037581319594235546,False
130006,-0.02454772800366814,0.014963982500248347,-0.053907259105633695,0.004847322816820095,False
130007,-0.015741506101161495,0.01682260272031834,-0.04867303380747762,0.017279079624995645,False
130008,-0.02860180968945955,0.01667889001197543,-0.06150268268063486,0.003489159014271582,False
130009,-0.010667228102851808,0.017641571285074164,-0.04584096227382923,0.02400799093149653,False
130010,-0.02092595527819388,0.014921194103978736,-0.049987530007694195,0.008110522895719242,False
130011,-0.01606444931435081,0.016663343066359852,-0.04827993603479978,0.0167637816368419,False
140001,-0.004571202701507405,0.014041631502180314,-0.03238238214412394,0.02300714331957197,False
140002,0.00623010473913589,0.01796972994486045,-0.028407367302325064,0.04288334839782742,False
140003,-0.022584908445775067,0.01942118359762754,-0.06022191740365851,0.01631256353231568,False
140004,-0.024614778493928714,0.019890347477299807,-0.06398550590094881,0.014766563450597438,False
150001,-0.023498365207763116,0.011856335304225672,-0.04693213280952303,-8.152812557059177e-06,True
150002,-0.03322590662002036,0.015434050942535759,-0.06424525068034961,-0.0038362626015247497,True
150003,-0.005149340465479856,0.014387328013076784,-0.033308426869922844,0.02323532704873145,False
150004,-0.018742387316596828,0.013866870417625205,-0.04629565209929334,0.008217412743045504,False
150005,-0.022662014228620818,0.014849968094478312,-0.05178863060813976,0.006581005699175914,False
150006,-0.029046168411351943,0.017095233081413717,-0.0623449188353072,0.00481819265063077,False
150007,-0.03307716813030163,0.015599802934864255,-0.06369860357737048,-0.002600665335633537,True
150008,-0.010548953669662993,0.017552630593144825,-0.04447071577796858,0.02437686420437404,False
150009,-0.03428133937816958,0.014429542428044959,-0.06288374838872779,-0.006168175912228613,True
150010,-0.029204981909378962,0.01458091048944733,-0.05820386513564576,-0.0007878510020747563,True
150011,-0.02013364771349001,0.015584169272746742,-0.050453446082338226,0.010748009277487027,False
150012,-0.012630447689757376,0.015659340703045827,-0.0439335708534391,0.017700876334139946,False
150013,-0.021051996464769646,0.01683569683649825,-0.05412338220023241,0.012451494957426675,False
150014,-0.01211114159322513,0.01812839304875939,-0.04778905674175001,0.022990297248256696,False
150015,-0.0068600304986673665,0.01349440543093652,-0.03347924313952599,0.01980560068813456,False
150016,0.014631980904121013,0.014865782435835919,-0.013745593018913135,0.04385574144296763,False
150017,-0.0282422705685813,0.015206099982505357,-0.05846910088895651,0.0010750849572210594,False
150018,-0.02789126041235597,0.015437081975945642,-0.05842378946009453,0.0022303701499520696,False
150019,-0.010394064576735456,0.017460335153926237,-0.044687128012141794,0.023735866141321036,False
150020,-0.012886877711156887,0.013966363397803721,-0.04021872951761486,0.014461799750492103,False
150021,-0.03161092933690009,0.01708590222002892,-0.0650140579152393,0.0018946214784076798,False
160001,-0.04712920760946977,0.014289816577788156,-0.07529375932987986,-0.01919282684357901,True
160002,-0.0314654875494251,0.01893697448030246,-0.06943803829776349,0.005737188152726697,False
160003,-0.0044691114814612645,0.01892174519749474,-0.04021713725712132,0.03309707836332066,False
160004,-0.017688795510557655,0.019887924755412387,-0.05561889562826986,0.02137792020625645,False
170001,-0.019587513410379655,0.019306218301660648,-0.05708443858706767,0.01812544251094915,False
170002,-0.009764763570608554,0.019666204861246074,-0.047675214929986075,0.029615367548662397,False
170003,-0.008338864357050106,0.01985553564200884,-0.04639780383923837,0.03021874553229034,False
170004,-0.011256348654342467,0.020883227780953365,-0.05212892598478701,0.03026944080926339,False
170005,-0.003977086459933274,0.016881005047337472,-0.036830713011066746,0.028910087524348486,False
170006,0.00425908912883676,0.020345565101424202,-0.035023627816113935,0.044902082914570554,False
170007,0.0072119038904654535,0.020200605201352403,-0.031219405412436462,0.047340525994102545,False
170008,-0.004482887910563692,0.021214183693654968,-0.045242795842464816,0.03834067909467639,False
170009,-0.006350646780223676,0.019489480418525364,-0.044651777546627414,0.03183357054724461,False
170010,0.002779243499455833,0.018926512552094106,-0.034196786395115156,0.04064406468586729,False
170011,-0.0033950992061368614,0.020517449250655125,-0.04351599644754438,0.03739899928481892,False
210001,-0.029858534968378994,0.012598352804448001,-0.05462976413845022,-0.004873199316716232,True
210002,-0.023280724166853055,0.015449323656749224,-0.05403034146705507,0.0063832605661860164,False
210003,-0.03530637813816915,0.01598912979974529,-0.06734956348382916,-0.00416826567789662,True
210004,-0.04342191170364717,0.016652113291732135,-0.07586643410753062,-0.011224690054361563,True
210005,-0.03749923102646656,0.015674129356705604,-0.0680952720696764,-0.006572476954717755,True
210006,-0.017775665788800205,0.017486311078421943,-0.05194734141002984,0.01693447305415186,False
210007,-0.020360490021621793,0.017272111028319676,-0.054101529346501184,0.013069526456814761,False
210008,-0.036725923086729804,0.0176477660082537,-0.07190508291910472,-0.00190392345862205,True
210009,-0.025681029306594445,0.014587125479343783,-0.054384802004198325,0.0031533220932984415,False
210010,-0.041389547788597325,0.014847847180181442,-0.07085445720275768,-0.012983265646601487,True
210011,-0.022756684050191194,0.016236168393978668,-0.05476070125893878,0.009565417004694205,False
