prior,classified,share,median_sd,median_mde,divergences
nopool,77,0.15098039215686274,0.032245645315509275,0.06320146481839818,0
exch,84,0.16470588235294117,0.017550794243755347,0.034399556717760474,0
bym2,89,0.17450980392156862,0.017424072182305593,0.034151181477318965,0
