rgi_id,b_mean,b_sd,b_lo95,b_hi95,classified_95,prob_direction,mde,bh_fdr05
110001,-0.1605973009394069,0.0230958031196218,-0.2061397591982956,-0.1162202159450924,True,1.0,0.0452677741144588,True
110002,-0.0465475451148447,0.027888796604875,-0.1003983803381926,0.0080483870590005,False,0.950125,0.054662041345555,False
110003,-0.0496930359441878,0.0319136462036794,-0.1120116441091257,0.0126787405885148,False,0.93925,0.0625507465592116,False
110004,-0.0758544540428578,0.0274861241196206,-0.1298379367323509,-0.0229206144777603,True,0.99675,0.0538728032744564,False
110005,0.0104673388435526,0.0262175580533609,-0.0417646211304912,0.0617698039877887,False,0.65575,0.0513864137845874,False
110006,-0.0071275854972078,0.0296344412937194,-0.0644660044646775,0.051633443553236,False,0.5975,0.0580835049356901,False
120001,-0.0611641804198893,0.023538961896615,-0.1076081835395508,-0.0152047709422911,True,0.99625,0.0461363653173654,False
120002,-0.0445000753198116,0.0318508996804325,-0.106842613548865,0.0188898301486402,False,0.917875,0.0624277633736477,False
120003,-0.0424313424712104,0.0312657813397063,-0.1044013444799803,0.0186230734026614,False,0.915,0.0612809314258244,False
120004,-0.034662640591543,0.0284519071624938,-0.0907952497995972,0.0214856525118095,False,0.890625,0.0557657380384878,False
120005,-0.0317614549104725,0.0281058569596666,-0.0866336569579272,0.0220998327675326,False,0.868125,0.0550874796409465,False
130001,-0.0884573512384096,0.0167956788520228,-0.1212231130637018,-0.0556173152281256,True,1.0,0.0329195305499647,True
130002,-0.0343878948591922,0.0290636304918135,-0.0905936511061246,0.022570054422017,False,0.878125,0.0569647157639544,False
130003,-0.0255806765269414,0.0277683907600778,-0.0802997305457617,0.0292269805591924,False,0.824875,0.0544260458897526,False
130004,-0.0383330593795051,0.0287646393525674,-0.0948724793358079,0.0177754439165987,False,0.905,0.0563786931310321,False
130005,-0.0274928956175881,0.024453954913983,-0.075450292613631,0.0205247762647152,False,0.86625,0.0479297516314068,False
130006,-0.0237132470086704,0.0242205707041119,-0.0705828725815198,0.0231725793787554,False,0.831625,0.0474723185800593,False
130007,-0.0026974393938824,0.0275676245742962,-0.0557649489344593,0.0514504355478517,False,0.540375,0.0540325441656206,False
130008,-0.0316641313145278,0.0279299232620201,-0.0864919622061634,0.0231099370289776,False,0.873125,0.0547426495935594,False
130009,0.0083216371294329,0.0298183652629922,-0.0502847032037672,0.0672488313942129,False,0.608875,0.0584439959154647,False
130010,-0.0037860506351891,0.0238376269059152,-0.0503155558042105,0.0429952359098515,False,0.56325,0.0467217487355939,False
130011,-0.0366624685531044,0.0281846445305899,-0.0922414422333905,0.0190461307823509,False,0.905625,0.0552419032799563,False
140001,-0.043970235192607,0.0217416988102196,-0.0860580783264928,-0.000755552138955,True,0.977375,0.0426137296680304,False
140002,-0.012739578950652,0.0304762713998705,-0.071714345344627,0.0469250939173951,False,0.6605,0.0597334919437463,False
140003,-0.0343836892412328,0.0332864708143686,-0.1009734019882964,0.0311480483884089,False,0.8525,0.0652414827961624,False
140004,-0.0399229350600652,0.0364874712686882,-0.1119308007114699,0.0310554061617314,False,0.861375,0.0715154436866289,False
150001,-0.0232085907183584,0.0170823872623669,-0.0568126351789358,0.0101833410918032,False,0.91,0.0334814790342391,False
150002,-0.0381080484881226,0.0251671076169469,-0.0885912140383912,0.0120014854123775,False,0.934,0.049327530929216,False
