rgi_id,b_mean,b_lo95,b_hi95,changed_vs_zero,delta_mean,delta_lo95,delta_hi95,lagging,leading,label
110001,-0.07712402547230428,-0.10839025786074868,-0.04662353211469107,True,-0.05484937468061117,-0.0858452032071689,-0.024147909160835573,False,True,Ahead of the country
110002,-0.02225208274357536,-0.05665550030322752,0.010789542378881542,False,2.256804811773927e-05,-0.03441771049379667,0.03348728219537512,False,False,No determination
110003,-0.023064546644652014,-0.05972111699867993,0.013886771736326015,False,-0.0007898958529589169,-0.037580388603746864,0.0362026052262078,False,False,No determination
110004,-0.04458797108730548,-0.07699306467275252,-0.012158377162178659,True,-0.022313320295612372,-0.05448508872796048,0.009808435570839213,False,False,"Changed, in line with the country"
110005,-0.016903421891130564,-0.04969546766831745,0.01710931444085525,False,0.0053712289005625365,-0.02779711809012919,0.039409534045582624,False,False,No determination
110006,-0.01919652481083156,-0.05454005501498012,0.014999060588312867,False,0.0030781259808615336,-0.03228947304352422,0.037120476029939856,False,False,No determination
120001,-0.015171098886589579,-0.04462958882208672,0.014152494501762505,False,0.00710355190510352,-0.022361827676927966,0.0365412905688634,False,False,No determination
120002,-0.025358589499303533,-0.06259522409462237,0.011420635421230355,False,-0.0030839387076104317,-0.04001823134667144,0.033456003767156774,False,False,No determination
120003,-0.01339003323193189,-0.05112056722102355,0.024328353341376924,False,0.00888461755976121,-0.028752051566222188,0.046739784919667356,False,False,No determination
120004,-0.012422843066235959,-0.04660270529069005,0.020999270121306538,False,0.00985180772545714,-0.024426093417591926,0.04322743822399303,False,False,No determination
120005,-0.021940598912057418,-0.05520275725958763,0.011298240242746093,False,0.00033405187963568057,-0.033074636622341363,0.03345362028589456,False,False,No determination
130001,-0.03588971005053329,-0.059634252764899545,-0.012669733369380747,True,-0.013615059258840191,-0.03789843121101127,0.009912032012532471,False,False,"Changed, in line with the country"
130002,-0.018912219455695312,-0.05291822615724913,0.014408173763060049,False,0.003362431335997789,-0.030453536084161653,0.03657380611992869,False,False,No determination
130003,-0.012781432379890646,-0.04486567387831269,0.020049870778831937,False,0.009493218411802454,-0.02280779624597567,0.04278447278087028,False,False,No determination
130004,-0.02981407218815298,-0.06468736874748807,0.004204222603155283,False,-0.007539421396459882,-0.04286131443695559,0.026294685634094594,False,False,No determination
130005,-0.025661507254963623,-0.05536161752968067,0.00349039731683968,False,-0.0033868564632705267,-0.03348392458924843,0.025544425750359315,False,False,No determination
130006,-0.024199625415088084,-0.05395620910191951,0.005739765996464048,False,-0.0019249746233949865,-0.03221435696391887,0.02807105355130502,False,False,No determination
130007,-0.01560590253964765,-0.04825929589024974,0.01708250418721297,False,0.006668748252045448,-0.0260852445239428,0.0390093388197956,False,False,No determination
130008,-0.02902721122813618,-0.06204146950708032,0.0039042662836116025,False,-0.006752560436443086,-0.04064749525224774,0.026330583342307992,False,False,No determination
130009,-0.010942222846389186,-0.04589824417811321,0.023976218571271194,False,0.011332427945303912,-0.023352404527688157,0.046563474915831855,False,False,No determination
130010,-0.02121012470104818,-0.04981068339179438,0.007757955419013439,False,0.0010645260906449194,-0.02778974671309196,0.03012023015809523,False,False,No determination
130011,-0.015981500717574662,-0.048556953002747226,0.016983864374819493,False,0.006293150074118435,-0.02612368876845517,0.039176968320073315,False,False,No determination
140001,-0.004156985188438235,-0.03190339994074629,0.023691880542594863,False,0.018117665603254864,-0.009725553446131905,0.045953259073901895,False,False,No determination
140002,0.006222073759986754,-0.02810610486030874,0.04180856194356096,False,0.028496724551679856,-0.0060625788638564515,0.0640188423502465,False,False,No determination
140003,-0.022819514790449354,-0.06201928054074425,0.01630001220038938,False,-0.000544863998756258,-0.03952843595952337,0.038136140355805634,False,False,No determination
140004,-0.024928560064846263,-0.06392510394065154,0.015208518112832001,False,-0.002653909273153164,-0.041874554664511274,0.03707244251842902,False,False,No determination
150001,-0.02380543761866638,-0.04751483146795289,-0.0012569903137148672,True,-0.00153078682697328,-0.02525058771892882,0.021531989791559715,False,False,"Changed, in line with the country"
150002,-0.032989699789343394,-0.06264116297674084,-0.002602703443985499,True,-0.010715048997650292,-0.040817279765585496,0.02006112721074205,False,False,"Changed, in line with the country"
