tolerance_x_national,rope_halfwidth,drifting,credibly_flat,conclusive,indeterminate_share
0.25,0.005568662697923274,49,0,49,0.903921568627451
0.5,0.011137325395846548,28,0,28,0.9450980392156862
1.0,0.022274650791693097,9,0,9,0.9823529411764705
2.0,0.04454930158338619,2,76,78,0.8470588235294118
3.0,0.06682395237507929,0,404,404,0.207843137254902
4.0,0.08909860316677239,0,505,505,0.009803921568627416
