tolerance_x_national,rope_halfwidth,drifting,credibly_flat,conclusive,indeterminate_share
0.25,0.007061245802661652,44,0,44,0.9137254901960784
0.5,0.014122491605323305,26,0,26,0.9490196078431372
1.0,0.02824498321064661,17,0,17,0.9666666666666667
2.0,0.05648996642129322,7,24,31,0.9392156862745098
3.0,0.08473494963193982,3,254,257,0.49607843137254903
4.0,0.11297993284258644,1,457,458,0.10196078431372546
